idx: 0loss: tensor(8.4650, grad_fn=<NegBackward>)
idx: 1loss: tensor(7.7737, grad_fn=<NegBackward>)
idx: 2loss: tensor(9.6815, grad_fn=<NegBackward>)
idx: 3loss: tensor(8.9457, grad_fn=<NegBackward>)
idx: 4loss: tensor(9.0331, grad_fn=<NegBackward>)
idx: 5loss: tensor(7.1110, grad_fn=<NegBackward>)
idx: 6loss: tensor(8.2235, grad_fn=<NegBackward>)
idx: 7loss: tensor(8.1965, grad_fn=<NegBackward>)
idx: 8loss: tensor(8.4404, grad_fn=<NegBackward>)
idx: 9loss: tensor(9.4646, grad_fn=<NegBackward>)
idx: 10loss: tensor(8.2351, grad_fn=<NegBackward>)
idx: 11loss: tensor(11.8762, grad_fn=<NegBackward>)
idx: 12loss: tensor(8.7425, grad_fn=<NegBackward>)
idx: 13loss: tensor(8.1396, grad_fn=<NegBackward>)
idx: 14loss: tensor(7.7847, grad_fn=<NegBackward>)
idx: 15loss: tensor(7.8659, grad_fn=<NegBackward>)
idx: 16loss: tensor(7.0047, grad_fn=<NegBackward>)
idx: 17loss: tensor(8.4260, grad_fn=<NegBackward>)
idx: 18loss: tensor(7.5349, grad_fn=<NegBackward>)
idx: 19loss: tensor(9.3077, grad_fn=<NegBackward>)
idx: 20loss: tensor(5.9563, grad_fn=<NegBackward>)
idx: 21loss: tensor(9.1914, grad_fn=<NegBackward>)
idx: 22loss: tensor(8.3130, grad_fn=<NegBackward>)
idx: 23loss: tensor(6.9580, grad_fn=<NegBackward>)
idx: 24loss: tensor(8.9614, grad_fn=<NegBackward>)
idx: 25loss: tensor(8.3813, grad_fn=<NegBackward>)
idx: 26loss: tensor(8.8606, grad_fn=<NegBackward>)
idx: 27loss: tensor(10.5932, grad_fn=<NegBackward>)
idx: 28loss: tensor(8.0448, grad_fn=<NegBackward>)
idx: 29loss: tensor(9.2267, grad_fn=<NegBackward>)
idx: 30loss: tensor(8.1841, grad_fn=<NegBackward>)
idx: 31loss: tensor(8.8893, grad_fn=<NegBackward>)
idx: 32loss: tensor(9.0341, grad_fn=<NegBackward>)
idx: 33loss: tensor(7.5234, grad_fn=<NegBackward>)
idx: 34loss: tensor(7.4709, grad_fn=<NegBackward>)
idx: 35loss: tensor(9.7134, grad_fn=<NegBackward>)
idx: 36loss: tensor(8.4042, grad_fn=<NegBackward>)
idx: 37loss: tensor(9.0926, grad_fn=<NegBackward>)
idx: 38loss: tensor(7.8130, grad_fn=<NegBackward>)
idx: 39loss: tensor(7.9386, grad_fn=<NegBackward>)
idx: 40loss: tensor(8.8267, grad_fn=<NegBackward>)
idx: 41loss: tensor(8.5756, grad_fn=<NegBackward>)
